,model,prior,duplicates_level,distortion_level,precision_median,recall_median,f1score_median,precision_lower_bound,precision_upper_bound,recall_lower_bound,recall_upper_bound,f1score_lower_bound,f1score_upper_bound
128,No Empirical,uniform,High,High,1.0,0.7505995,0.85727325,0.9968217149999999,1.0,0.7333733075000001,0.7604516275,0.84618031,0.8634158875
129,No Empirical,uniform,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.9408946,0.9657166,0.9695473
130,No Empirical,uniform,Low,High,0.440367,0.8,0.5680473,0.40413044,0.4743264175,0.8,0.8166667,0.536990725,0.597561
131,No Empirical,uniform,Low,Low,0.38962684999999997,0.952381,0.55300715,0.3451260225,0.42187037,0.952381,0.952381,0.506636155,0.58472654
132,No Empirical,uniform,Medium,High,0.9881078999999999,0.7710471999999999,0.86620195,0.9778293725,0.9923435575,0.7597536,0.82248457,0.85854241,0.895758515
133,No Empirical,uniform,Medium,Low,1.0,0.9191919,0.9578947,0.9956236,1.0,0.9191919,0.9252525,0.9561085475000001,0.9611752
134,No Empirical,uniform,Very High,High,1.0,0.7994634,0.8885576,1.0,1.0,0.7908954075,0.8040073925,0.8832401725000001,0.891357055
135,No Empirical,uniform,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.921762,0.9237344,0.9592884,0.9603554
136,Neither,BNBD4,High,High,0.9970297,0.80295765,0.88938165,0.9940459775,1.0,0.798341365,0.80939247,0.8866917825,0.8935807600000001
137,Neither,BNBD4,High,Low,1.0,0.9353035,0.9665704,1.0,1.0,0.9337061,0.9387180425,0.9657166,0.9683904474999999
138,Neither,BNBD4,Low,High,0.9099026,0.85,0.8755526,0.8793103,0.9272727,0.8333333,0.85,0.863763905,0.8869565
139,Neither,BNBD4,Low,Low,0.9677419,0.952381,0.96,0.948288725,0.9836066,0.952381,0.952381,0.9503187475,0.9677419
140,Neither,BNBD4,Medium,High,0.9880523999999999,0.8542094,0.9162072,0.983418995,0.9935024425,0.8454312150000001,0.86149897,0.91113946,0.9199646324999999
141,Neither,BNBD4,Medium,Low,1.0,0.9191919,0.9578947,0.997807,1.0,0.9191919,0.9252525,0.9568875,0.9611752
142,Neither,BNBD4,Very High,High,0.99519235,0.8283032,0.9039342,0.9917215775,0.9986105175,0.8203722725,0.8351945425,0.8987559749999999,0.9088137975
143,Neither,BNBD4,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9197896,0.9234384975,0.9582192,0.9601954149999999
144,Neither,Pitman,High,High,0.99653495,0.80055955,0.888494,0.993037905,1.0,0.796083115,0.809172635,0.8848150875,0.8933288725
145,Neither,Pitman,High,Low,1.0,0.936901,0.9674227,1.0,1.0,0.9337061,0.939956055,0.9657166,0.9690484925
146,Neither,Pitman,Low,High,0.9272727,0.85,0.8869565,0.8947368,0.9444444,0.8333333,0.85,0.8717949,0.8947368
147,Neither,Pitman,Low,Low,0.9836066,0.952381,0.9677419,0.9677419,0.9881147849999999,0.952381,0.952381,0.96,0.9699055725
148,Neither,Pitman,Medium,High,0.9928401,0.8501027,0.9153299500000001,0.9850673075,0.9952069625,0.8407597299999999,0.860934285,0.91114958,0.9222179925
149,Neither,Pitman,Medium,Low,1.0,0.9191919,0.9578947,0.997206565,1.0,0.9191919,0.923787855,0.9566110975000001,0.9603840800000001
150,Neither,Pitman,Very High,High,0.9959806,0.8303152,0.9055637,0.9927952425000001,1.0,0.8250000024999999,0.8369047275,0.9018215675,0.90922991
151,Neither,Pitman,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.9215811875,0.9230769,0.9591904450000001,0.96
152,Neither,uniform,High,High,1.0,0.7897682,0.8825368,0.9969790424999999,1.0,0.785551565,0.7946442850000001,0.87976833,0.8855723000000001
153,Neither,uniform,High,Low,1.0,0.9361022,0.9669967,1.0,1.0,0.9337061,0.9387180425,0.9657166,0.9683904474999999
154,Neither,uniform,Low,High,0.2615385,0.85,0.4,0.2562814,0.2819654225,0.8333333,0.85,0.3938224,0.42229719
155,Neither,uniform,Low,Low,0.3076923,0.952381,0.4651163,0.29229218,0.3230601175,0.952381,0.952381,0.4473034625,0.4824621075
156,Neither,uniform,Medium,High,0.98347105,0.8542094,0.9137839,0.9742491875,0.9888962525,0.847484615,0.8644764,0.908617235,0.9221106425000001
157,Neither,uniform,Medium,Low,1.0,0.9191919,0.9578947,0.997203085,1.0,0.918636345,0.9252525,0.9558568525,0.9611752
158,Neither,uniform,Very High,High,1.0,0.8256204,0.904482,0.9993308975,1.0,0.819215315,0.834590885,0.9006248025,0.9098379525
159,Neither,uniform,Very High,Low,1.0,0.921762,0.9592884,1.0,1.0,0.92121959,0.9232577125,0.9589943700000001,0.960097735
